date;event;note;type;Event ID
FROM 05 JAN 1656 TO 07 MAR 1656;Erster Villmergerkrieg;"Der Krieg der reformierten Orte Zürich und Bern gegen die katholische Innerschweiz endet mit dem Sieg der Katholiken und dem Erhalt der katholischen Hegemonie; siehe [wikipedia {{wikipedia}}](https://{{wikipedia}}.wikipedia.org/wiki/Erster_Villmergerkrieg ).";Historic event: Switzerland;9d93ae29-8e6c-4891-938d-33751dda73e6
24 NOV 1721;Werdenberger Landeshauptmann in Glarus begraben;Nach einem peinlichen Verhör (Folter) ist der Werdenberger Landeshauptmann Johannes Hilty in Glarner Gefangenschaft verstorben. Er sei ehrlich begraben worden, wie die Behörden den Hinterbliebenen ausrichten lassen.;Historic event: Switzerland;be5313af-9182-4ff9-859f-328a07e2498e
13 JUN 1782;Hinrichtung der Anna Göldi;Die Magd war der Hexerei beschuldigt und vom Evangelischen Rat zum Tode verurteilt. Die Hinrichtung durch das Schwert findet in Glarus statt.;Historic event: Switzerland;be0e3769-9191-427f-879d-6c2332bb1d81
14 JUL 1789;Sturm auf die Bastille;Mit dem Sturm beginnt die Französische Revolution. Die Bastille wurde von gut hundert Mann, davon 32 Schweizer Söldner verteidigt.;Historic event: Switzerland;4eb9c1d8-8f4c-4e6e-915b-ad82a990e1ea
10 AUG 1792;Tuileriensturm;"Aufständische Bevölkerungsteile stürmen die von der Schweizergarde verteidigte königliche Residenz, den Tuilerienpalast. 550 bis 700 Schweizgardisten verlieren im Massaker das Leben; siehe [wikipedia {{wikipedia}}](https://{{wikipedia}}.wikipedia.org/wiki/L%C3%B6wendenkmal_Luzern ).";Historic event: Switzerland;e2d70397-1dfc-4590-91ba-69bafc1c01a2
24 JAN 1798;Waadt erklärt Unabhängigkeit;Die Waadt erklärt sich von Bern unabhängig.;Historic event: Switzerland;e97a1ef0-22b0-434f-85d8-ce7c8a90b4a8
11 MAR 1798;Werdenberg ist frei;Die Glarner Landsgemeinde beschließt unter dem Druck der politischen Umwälzungen, den Werdenbergern die Freiheit zu schenken.;Historic event: Switzerland;27a7155f-dee6-41ac-ba1e-dbbfae12944e
12 APR 1798;Ausrufung der Helvetischen Republik;Die Helvetische Republik wird als Tochterrepublik Frankreichs ins Leben gerufen.;Historic event: Switzerland;4064cb1f-2431-4f9b-9902-ab74f48f9147
FROM 07 SEP 1798 TO 09 SEP 1798;Schreckenstage von Nidwalden;Die Franzosen überfallen Nidwalden und bringen unsägliches Leid auch über die Zivilbevölkerung. Unter den 400 Nidwaldner Opfern des französischen Massakers befinden sich über hundert Frauen und 26 Kinder.;Historic event: Switzerland;7a6ded1b-57ad-494e-8c29-d1ba8493102b
FROM 04 JUN 1799 TO 07 JUN 1799;Erste Schlacht um Zürich;Österreichische und russische Truppen besiegen Frankreich.;Historic event: Switzerland;bcfdcc2e-5545-4740-9d5c-c3e049b73e83
FROM 25 SEP 1799 TO 26 SEP 1799;Zweite Schlacht um Zürich;Französische Truppen besiegen Truppen Russlands und Österreichs.;Historic event: Switzerland;3a8bb009-ee10-4629-b52b-eb3e3549ee5e
01 OCT 1799;Schlacht im Muotatal;Die russischen Truppen besiegen Frankreich.;Historic event: Switzerland;4bde5a38-dbd7-4516-918c-181a856ce10c
FROM 06 OCT 1799 TO 06 OCT 1799;General Suworow überquert Panixer;Die geschwächte russische Armee Suworow überquert den Panixer am 6./7. Oktober 1799. Etwa 2000 Soldaten, ebenso viele Lasttiere und alle 25 Geschütze gehen verloren.;Historic event: Switzerland;25e18f46-2d9b-4c24-acea-188e6e4c7d1d
FROM 07 JAN 1800;Auflösung des helvetischen Direktoriums;Die Direktoren Laharpe, Oberlin und Secrétan werden abgesetzt und das Direktorium als Institution überhaupt abgeschafft.;Historic event: Switzerland;19713846-6792-4f00-aeb0-232e0511599f
10 MAR 1803;Auflösung der Helvetischen Republik;Die Helvetische Republik wird aufgelöst. Es folgt die Mediationszeit als faktisch französischer Vasallenstaat.;Historic event: Switzerland;87496b34-b20a-4c4b-a551-ee5c5860f775
